channel,spacecraft,cls,n_var,train_len,test_len,live_train,live_test,dead_but_alive,n_anom,anom_frac,n_seg,segs,top1_var,top1_ratio,top1_share,mean_ratio_live,anom_on_dead_col
E-6,SMAP,[point],25,2880,8300,18,24,6,66,0.007951807228915662,1,"[(5610, 5675)]",0,212.6823146631965,0.9263378492315658,15.941786300215805,False
D-4,SMAP,[point],25,2833,8473,19,19,1,3248,0.38333530036586805,1,"[(5225, 8472)]",0,148.16221820673573,0.9639120082395409,8.679163315637602,False
M-7,MSL,[point],55,1587,2156,14,14,2,101,0.046846011131725415,1,"[(940, 1040)]",0,52.806973251168536,0.6945844704638754,4.836892855931671,False
P-10,MSL,[point],55,4308,6100,15,25,12,131,0.021475409836065575,1,"[(4590, 4720)]",15,52.24963380529618,0.005789700580117176,8.196036904291036,False
F-3,SMAP,[contextual],25,2880,8376,18,24,6,41,0.004894937917860554,1,"[(5600, 5640)]",8,26.81918455524183,0.07147050313381643,7.139296102814926,False
F-4,MSL,[point],55,2244,3422,12,13,1,71,0.020748100526008183,1,"[(2700, 2770)]",54,19.51852038388243,0.12486562697903965,2.705558093626968,False
G-7,SMAP,"[contextual, point, contextual]",25,2446,8029,1,11,10,268,0.033379001120936606,3,"[(3650, 3750), (5050, 5100), (7560, 7675)]",0,19.431728133834692,1.0,19.431728133834692,False
P-2,SMAP,[point],25,2821,8209,18,24,6,1226,0.14934827628212938,1,"[(5350, 6575)]",0,18.204915977579095,0.8819246347783506,1.8341551332758539,False
D-3,SMAP,[point],25,2880,8640,19,19,1,3276,0.37916666666666665,1,"[(5225, 8500)]",0,17.804071546672038,0.9660766039911725,1.7978108513856685,False
G-4,SMAP,[point],25,2551,7632,13,3,0,31,0.004061844863731656,1,"[(4690, 4720)]",0,17.465670098564953,0.9353461870310942,2.2622326934691652,False
D-1,SMAP,[point],25,2849,8509,18,24,6,3259,0.38300622869902456,1,"[(5250, 8508)]",0,14.447251165099004,0.8675114904682945,1.442874134103008,False
F-8,MSL,[contextual],55,3342,2487,12,14,2,537,0.21592279855247287,1,"[(1950, 2486)]",41,10.580622541289662,0.20470678531607303,1.7645265389344942,False
F-5,MSL,[point],55,2598,3922,12,13,1,151,0.038500764915859256,1,"[(3550, 3700)]",0,8.040854066087775,0.7351897276961173,1.3846612444412043,False
S-2,MSL,[point],55,926,1827,11,14,3,11,0.0060207991242474,1,"[(900, 910)]",27,7.330806320604414,0.5329261213379005,1.2243295131828114,False
T-13,MSL,"[contextual, contextual]",55,1145,2430,10,14,5,252,0.1037037037037037,2,"[(690, 790), (1900, 2050)]",12,7.294155650531606,0.22626242213882095,1.7944756777137942,False
T-12,MSL,[contextual],55,1145,2430,10,14,5,121,0.04979423868312757,1,"[(630, 750)]",12,6.67184563383115,0.3168652849160111,1.5665464764718564,False
P-3,SMAP,[point],25,2855,8493,18,24,6,1336,0.15730601671965147,1,"[(5401, 6736)]",0,5.859852446792128,0.2209310926480444,1.0032041308017894,False
T-9,MSL,"[point, point]",55,439,1096,9,23,14,112,0.10218978102189781,2,"[(780, 810), (890, 970)]",5,5.82697478340733,0.28933070415368894,1.493841934085488,False
E-7,SMAP,[point],25,2769,8310,18,24,6,281,0.03381468110709988,1,"[(5394, 5674)]",0,5.781844199405057,0.6585871978912997,1.0092470291866682,False
A-1,SMAP,[point],25,2880,8640,18,21,3,85,0.009837962962962963,1,"[(4690, 4774)]",7,4.9121490448723035,0.0973708068559313,0.8959559897778338,False
M-5,MSL,[contextual],55,2032,2303,15,13,1,301,0.13069908814589665,1,"[(1250, 1550)]",43,4.368770764119718,0.0401925433414596,1.3013840771852547,False
G-3,SMAP,[point],25,2624,7907,18,19,2,51,0.006449981029467561,1,"[(4200, 4250)]",0,4.16016038712518,0.06413646999349636,1.0463609485261385,False
E-5,SMAP,[point],25,2880,8294,18,24,6,321,0.03870267663371112,1,"[(5600, 5920)]",8,4.02710415333264,0.03408228975731998,1.423740602002404,False
T-5,MSL,[point],55,2272,2218,10,13,4,26,0.011722272317403066,1,"[(1200, 1225)]",19,3.8262504196038907,0.1832974436648117,1.1042559361533941,False
E-9,SMAP,[point],25,2880,8302,18,24,6,351,0.04227896892315105,1,"[(5550, 5900)]",8,3.74297426213968,0.028389037459220324,1.447092966022624,False
P-11,MSL,"[point, point]",55,3969,3535,14,15,2,228,0.0644978783592645,2,"[(1778, 1898), (1238, 1344)]",41,3.478070175438727,0.03642344878758259,1.1290246563846689,False
C-1,MSL,"[point, contextual]",55,2158,2264,15,16,3,312,0.13780918727915195,2,"[(550, 750), (2100, 2210)]",19,3.4358243498384593,0.07945145998775371,1.256193532726624,False
M-2,MSL,[contextual],55,2208,2277,13,11,0,1141,0.5010979358805446,1,"[(1110, 2250)]",0,3.333506261373612,0.569598132276346,1.3911452914356084,False
P-14,MSL,[point],55,2880,6100,9,25,16,181,0.029672131147540984,1,"[(4575, 4755)]",6,3.1569483804380054,2.2951941401751967e-05,1.2043756150059943,False
T-8,MSL,"[contextual, contextual]",55,748,1519,9,12,3,102,0.06714944042132982,2,"[(870, 930), (1330, 1370)]",0,3.097417985675204,0.1515268677047554,1.2113904716316304,False
D-5,SMAP,[point],25,2561,7628,16,19,3,51,0.006685894074462507,1,"[(4800, 4850)]",2,2.9992873947491447,6.501265047124258e-05,1.3001692384473946,False
M-1,MSL,[contextual],55,2209,2277,13,11,0,1141,0.5010979358805446,1,"[(1110, 2250)]",41,2.9342681858018547,0.020151969053735425,1.1582097857184868,False
D-14,MSL,"[point, point]",55,3675,2625,19,30,15,222,0.08457142857142858,2,"[(1630, 1650), (1800, 2000)]",9,2.909524212043916,0.03966594583286896,0.8683478903331733,False
T-3,SMAP,"[point, point]",25,2876,8579,12,11,0,184,0.021447721179624665,2,"[(2098, 2180), (5200, 5300)]",0,2.6820583960478848,0.7632635228949898,0.9600679613613256,False
E-8,SMAP,[point],25,2880,8532,18,24,6,623,0.07301922175339896,1,"[(5400, 6022)]",0,2.424659528175108,0.24168857373127534,0.9811886045236167,False
C-2,MSL,"[point, contextual]",55,764,2051,8,14,6,137,0.06679668454412482,2,"[(290, 390), (1540, 1575)]",27,2.369398484228143,0.2427397867231577,1.0909666376837321,False
M-6,MSL,[point],55,1565,2049,11,16,5,181,0.08833577354807223,1,"[(1850, 2030)]",20,2.3386935191765947,0.06425090483614927,1.0985274753029133,False
A-5,SMAP,[point],25,705,4693,11,1,0,51,0.010867249094395908,1,"[(2750, 2800)]",0,2.3130992903314533,0.9999272519700788,1.1193726627574352,False
E-11,SMAP,"[contextual, contextual]",25,2880,8514,18,24,6,295,0.03464881371858116,2,"[(5000, 5050), (5614, 5857)]",0,2.260266769426013,0.35723235034175027,0.8942456300235564,False
M-4,MSL,[contextual],55,2076,2038,18,13,0,251,0.12315996074582924,1,"[(1250, 1500)]",47,2.252498549856665,0.04491884921960478,0.9948365818124366,False
M-3,MSL,[contextual],55,2037,2127,18,13,0,251,0.11800658204043253,1,"[(1250, 1500)]",47,2.2408122135976303,0.04815139720622613,0.9924829999242503,False
D-6,SMAP,[point],25,2594,7884,16,19,3,81,0.010273972602739725,1,"[(4870, 4950)]",2,2.1487036337156122,0.047254120520098364,1.1156277459021064,False
E-2,SMAP,[point],25,2880,8532,18,24,6,1398,0.16385372714486637,1,"[(5598, 6995)]",0,2.1444059229052836,0.2725959714815312,0.7283321254056839,False
E-10,SMAP,"[contextual, contextual]",25,2880,8505,18,24,6,322,0.03786008230452675,2,"[(5000, 5050), (5601, 5871)]",0,2.1413380183963593,0.3417059039113977,0.9150538385603233,False
A-9,SMAP,[contextual],25,762,8434,10,10,3,3865,0.4582641688404079,1,"[(4569, 8433)]",0,2.104229827597925,0.6522922515673757,0.7216108153237347,False
A-6,SMAP,[point],25,682,4453,11,1,0,41,0.009207275993712105,1,"[(1890, 1930)]",0,1.9869838316700772,0.7875954764615629,1.089725802879118,False
D-15,MSL,[point],55,2074,2158,15,14,1,641,0.29703429101019463,1,"[(1500, 2140)]",0,1.934020411384601,0.23485740916024309,1.0650053971881872,False
S-1,SMAP,[point],25,2818,7331,18,19,1,448,0.06111035329422998,1,"[(5300, 5747)]",0,1.8708488364551463,0.3477354409219336,0.7960796468531122,False
T-4,MSL,[point],55,2272,2217,11,13,3,69,0.03112313937753721,1,"[(1172, 1240)]",19,1.8417304921737934,0.07177502291650577,0.9742060554875512,False
A-8,SMAP,[contextual],25,762,8375,10,10,3,3806,0.45444776119402985,1,"[(4569, 8374)]",0,1.8174587800812194,0.5141780544835275,0.6892569336664638,False
D-16,MSL,[contextual],55,1451,2191,15,15,1,651,0.2971246006389776,1,"[(600, 1250)]",43,1.798818522849289,0.033555904721850834,1.0500565853546069,False
D-2,SMAP,[point],25,2880,8595,18,20,2,4218,0.4907504363001745,1,"[(4319, 8536)]",20,1.682313892840274,0.007451961220331038,0.9227703910265332,False
F-7,MSL,"[contextual, contextual, contextual]",55,2511,5054,12,14,3,423,0.08369608231104075,3,"[(1250, 1450), (2670, 2790), (3325, 3425)]",0,1.6631022688869255,0.5305354521471334,0.6796687580698665,False
P-7,SMAP,[contextual],25,2853,8071,8,7,0,1651,0.20455953413455583,1,"[(4950, 6600)]",0,1.5204022398218944,0.6484550103097944,0.8349794716444943,False
P-1,SMAP,"[contextual, contextual, contextual]",25,2872,8505,16,18,2,751,0.08830099941211052,3,"[(2149, 2349), (4536, 4844), (3539, 3779)]",7,1.5112818151184464,0.020861254492486454,0.980372319026654,False
F-2,SMAP,[point],25,2861,8626,14,14,1,2957,0.3428008346858335,1,"[(5669, 8625)]",0,1.4785093827766158,0.44810982457119597,0.8049147646108974,False
E-3,SMAP,[point],25,2880,8307,18,24,6,3213,0.38678223185265437,1,"[(5094, 8306)]",8,1.4779100862635284,0.011909984207081253,0.7477970305095015,False
E-13,SMAP,"[contextual, contextual, contextual]",25,2880,8640,19,21,2,264,0.030555555555555555,3,"[(5309, 5410), (5600, 5640), (6449, 6569)]",2,1.4446469145799794,0.051534415402103254,0.8421085919200806,False
A-4,SMAP,[contextual],25,2690,8080,18,18,0,111,0.013737623762376238,1,"[(4550, 4660)]",0,1.4114486668817798,0.21454356224168836,0.7765799106027023,False
D-7,SMAP,[point],25,2583,7642,18,20,2,2702,0.35357236325569225,1,"[(4940, 7641)]",13,1.3637603675576826,0.014546890247016367,0.978254829027259,False
P-15,MSL,[point],55,3682,2856,18,13,1,21,0.007352941176470588,1,"[(1390, 1410)]",0,1.2840989560820726,0.9741823283144881,0.7134254543526386,False
G-6,SMAP,[point],25,2881,8640,13,11,1,101,0.011689814814814814,1,"[(5600, 5700)]",0,1.264387003552799,0.6899845906515217,0.8199027108036153,False
G-2,SMAP,[point],25,2478,7361,17,20,3,41,0.005569895394647467,1,"[(4030, 4070)]",19,1.2469355158369333,0.07728596835568927,0.7066329938747332,False
T-1,SMAP,"[point, contextual]",25,2875,8612,3,15,12,1536,0.17835578262888993,2,"[(2399, 3898), (6550, 6585)]",0,1.2175121972999348,0.955570948350374,0.48300934792220235,False
E-1,SMAP,"[contextual, contextual]",25,2880,8516,18,24,6,508,0.05965241897604509,2,"[(5000, 5030), (5610, 6086)]",0,1.2069643213158288,0.2518301707940125,0.792003031322679,False
A-3,SMAP,[contextual],25,2736,8205,18,18,0,186,0.0226691042047532,1,"[(4575, 4760)]",0,1.1896201959770514,0.20835439320527432,0.7302516970844936,False
T-2,SMAP,[point],25,2855,8625,14,14,1,1785,0.20695652173913043,1,"[(6840, 8624)]",0,1.1630392870038224,0.43347943218554,0.8086124839215013,False
G-1,SMAP,[contextual],25,2820,8469,18,18,0,121,0.014287401109930334,1,"[(4770, 4890)]",6,1.1269981259412518,0.16270026030884485,0.7489151004673529,False
A-2,SMAP,[contextual],25,2648,7914,18,18,0,111,0.014025777103866566,1,"[(4450, 4560)]",6,1.1257688972778082,0.15260064972502488,0.779882998240362,False
E-4,SMAP,[point],25,2880,8354,18,24,6,2812,0.3366052190567393,1,"[(5450, 8261)]",2,1.0598289372262508,0.040573235704947766,0.7157249660505687,False
F-1,SMAP,[point],25,2869,8584,17,13,0,101,0.011766076421248835,1,"[(5392, 5492)]",0,1.0521397474940868,0.2430321527542675,0.9159272772936017,False
A-7,SMAP,[contextual],25,2879,8631,10,7,2,2401,0.2781832927818329,1,"[(6200, 8600)]",3,1.0000000000001683,0.034894274953425015,0.9187441978638347,False
B-1,SMAP,[point],25,2435,8044,12,11,2,71,0.008826454500248633,1,"[(5060, 5130)]",2,1.0000000000001634,0.02403749786348866,0.7989002721850224,False
P-4,SMAP,"[point, point, point]",25,2609,7783,17,13,1,443,0.0569189258640627,3,"[(950, 1080), (2150, 2350), (4770, 4880)]",8,1.0000000000000628,0.007944738591456096,0.9220315487690606,False
R-1,SMAP,[point],25,2874,7244,7,7,1,81,0.011181667586968525,1,"[(4510, 4590)]",4,1.0000000000000222,0.02957868157242924,0.7466610729412455,False
D-9,SMAP,[point],25,2583,7406,13,13,1,1156,0.15608965703483663,1,"[(6250, 7405)]",12,0.9999999999999973,0.01866327823509991,0.759122224358294,False
D-11,SMAP,[point],25,2611,7431,6,10,4,61,0.008208854797470059,1,"[(4270, 4330)]",0,0.8942415982027901,0.7404548343383388,0.7120779978129286,False
D-8,SMAP,[point],25,2602,7874,13,15,2,51,0.006477012954025908,1,"[(4370, 4420)]",2,0.8577850877193242,0.04501054858551929,0.7415122202440786,False
E-12,SMAP,"[contextual, contextual]",25,2880,8512,18,24,6,583,0.06849154135338346,2,"[(5610, 6141), (5000, 5050)]",0,0.8527571222395753,0.190648152952027,0.7666968765674363,False
