channel,round,spacecraft,class,n_var,n_live,n_windows,n_anom_windows,WIN_P,WIN_R,WIN_F1,WIN_P_pa,WIN_R_pa,WIN_F1_pa,PT_P,PT_R,PT_F1,PT_F1_pa,oracle_win_F1,thresh,pred_pos_rate,normal_mean,anom_mean,gap_ratio
A-1,0,SMAP,[point],21,18,67,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1538,9.1908,0.0299,4.84439,5.84013,1.2055
A-2,0,SMAP,[contextual],18,18,61,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,9.3015,0.0820,5.84268,3.79678,0.6498
A-3,0,SMAP,[contextual],18,18,64,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1379,10.216,0.0156,5.82669,6.03702,1.0361
A-4,0,SMAP,[contextual],18,18,63,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,10.215,0.0159,5.88539,3.03522,0.5157
A-5,0,SMAP,[point],11,11,36,1,0.0667,1.0000,0.1250,0.0667,1.0000,0.1250,0.0266,1.0000,0.0518,0.0518,1.0000,14.004,0.4167,187.83056,513.32709,2.7329
A-6,0,SMAP,[point],11,11,34,2,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.6667,11.554,0.0000,4.79201,6.15743,1.2849
A-7,0,SMAP,[contextual],12,10,67,19,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.3673,3.7827,0.0149,1.38295,1.32204,0.9560
A-8,0,SMAP,[contextual],13,10,65,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,9.0101,0.0923,4.38683,2.44915,0.5583
A-9,0,SMAP,[contextual],13,10,65,30,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5667,8.7945,0.0462,3.98518,2.72765,0.6844
B-1,0,SMAP,[point],14,12,62,2,0.0741,1.0000,0.1379,0.0741,1.0000,0.1379,0.0205,1.0000,0.0403,0.0403,0.1600,4.0855,0.4355,13.14470,24.19667,1.8408
